source,target,score
UBERON_0000002,M0003947,0.9205885446503366
UBERON_0000002,M0022439,0.8493562426722886
UBERON_0000002,M0022473,0.8240059140495808
UBERON_0000002,M0007416,0.7772063359655156
UBERON_0000002,M0008175,0.7599301940738088
UBERON_0000002,M0000455,0.7521841464608233
UBERON_0000002,M0009161,0.7215495729455079
UBERON_0000002,M0010802,0.6943778222308378
UBERON_0000002,M0005719,0.6670311592506265
UBERON_0000002,M0007559,0.6611169237834054
UBERON_0000006,M0011741,0.9221295179420201
UBERON_0000006,M0011742,0.8120226079087153
UBERON_0000006,M0029492,0.8026942436398442
UBERON_0000006,M0475038,0.7770644787665462
UBERON_0000006,M0015790,0.769000498701407
UBERON_0000006,M0011743,0.760220806948038
UBERON_0000006,M0336842,0.6981029550778872
UBERON_0000006,M0014767,0.6178056009395688
UBERON_0000006,M0029490,0.5956753329753061
UBERON_0000006,M0015796,0.5682650787211263
UBERON_0000009,M0011572,0.7169787556743028
UBERON_0000009,M0020671,0.645955099888471
UBERON_0000009,M0012229,0.6331545553154903
UBERON_0000009,M0328056,0.6280075068320987
UBERON_0000009,M0006892,0.6263447578031712
UBERON_0000009,M0456567,0.6251954033750917
UBERON_0000009,M000612954,0.6174431091829415
UBERON_0000009,M0011486,0.6068392357818538
UBERON_0000009,M0013361,0.5983280171624283
UBERON_0000009,M0009010,0.5938186625109967
UBERON_0000010,M0027092,0.9260544440649017
UBERON_0000010,M0026867,0.8131505766769883
UBERON_0000010,M0015922,0.7954285738748261
UBERON_0000010,M0020944,0.7933209725400636
UBERON_0000010,M0002013,0.7904988664535115
UBERON_0000010,M0014665,0.7658385903766228
UBERON_0000010,M0020324,0.7276448075373367
UBERON_0000010,M0008979,0.7183627576607916
UBERON_0000010,M0000529,0.7178703514907057
UBERON_0000010,M0022493,0.7080195008814872
UBERON_0000014,M0019925,0.8770053605020257
UBERON_0000014,M0030055,0.8613906392485439
UBERON_0000014,M0007554,0.8332364861275976
UBERON_0000014,M0028213,0.6583146708707075
UBERON_0000014,M0561609,0.6544201801141428
UBERON_0000014,M0472875,0.6171180058326935
UBERON_0000014,M0019583,0.6068958462655684
UBERON_0000014,M0029063,0.5928842768231453
UBERON_0000014,M0008234,0.589402584722084
UBERON_0000014,M0022581,0.5618269354178792
UBERON_0000016,M0011741,0.9087852307752727
UBERON_0000016,M0011742,0.8735300326240373
UBERON_0000016,M0011743,0.8034740460047032
UBERON_0000016,M0029492,0.7782912104814597
UBERON_0000016,M0015790,0.7453083789226224
UBERON_0000016,M0475038,0.7164346514540509
UBERON_0000016,M0336842,0.6894538764894566
UBERON_0000016,M0014767,0.608891835448003
UBERON_0000016,M0488576,0.555366537398475
UBERON_0000016,M0015796,0.5200633573629863
UBERON_0000017,M0336842,0.8613227241555379
UBERON_0000017,M0015790,0.8136839466176249
UBERON_0000017,M0020540,0.6642160243013244
UBERON_0000017,M0439053,0.6552251356289683
UBERON_0000017,M0029509,0.6529409152059266
UBERON_0000017,M0439813,0.6450773342656599
UBERON_0000017,M0029518,0.6410282628598531
UBERON_0000017,M0015954,0.6284680091870163
UBERON_0000017,M0022568,0.6255975442044593
UBERON_0000017,M0006371,0.6230972527691748
UBERON_0000019,M0008082,0.8112440686890047
UBERON_0000019,M0018939,0.7634275708837257
UBERON_0000019,M0515670,0.739859856445054
UBERON_0000019,M0540316,0.71912001135945
UBERON_0000019,M0008792,0.7147960536596495
UBERON_0000019,M0012345,0.7134391029732634
UBERON_0000019,M0001299,0.70713251831579
UBERON_0000019,M0005176,0.7045336342715053
UBERON_0000019,M0027110,0.7040444965010705
UBERON_0000019,M0030076,0.7023073100876642
UBERON_0000020,M0018618,0.8304203633300312
UBERON_0000020,M0454726,0.7046586220519351
UBERON_0000020,M0013162,0.6750185332630928
UBERON_0000020,M0000529,0.6700749964339124
UBERON_0000020,M0004020,0.6699579635729891
UBERON_0000020,M0014737,0.6496707807428072
UBERON_0000020,M0027111,0.6261830322873577
UBERON_0000020,M0015254,0.6191968638983941
UBERON_0000020,M0008082,0.6166169927524114
UBERON_0000020,M0027220,0.6147815059157657
UBERON_0000025,M0021743,0.6193395419777505
UBERON_0000025,M0002961,0.5918968681866699
UBERON_0000025,M0004808,0.5909057677633831
UBERON_0000025,M0018913,0.5791231136345489
UBERON_0000025,M0022322,0.5727690915666209
UBERON_0000025,M0008175,0.5720431620420261
UBERON_0000025,M0012740,0.5664925174746943
UBERON_0000025,M0018121,0.565141771822813
UBERON_0000025,M0002960,0.5620646909656545
UBERON_0000025,M0003289,0.5607783779521675
UBERON_0000026,M0001611,0.6060492233763691
UBERON_0000026,M0473619,0.5906396613899242
UBERON_0000026,M0019469,0.5486460003721946
UBERON_0000026,M0019920,0.5411633667682748
UBERON_0000026,M0001699,0.5217393805676103
