iri,id,name,aka,description
http://id.nlm.nih.gov/mesh/M0001553,M0001553,Aortic Valve,"Aortic Valves; Valve, Aortic; Valves, Aortic",The valve between the left ventricle and the ascending aorta which prevents backflow into the left ventricle.
http://id.nlm.nih.gov/mesh/M0001928,M0001928,Atrioventricular Node,"Atrioventricular Nodes; Node, Atrioventricular; Nodes, Atrioventricular",A small nodular mass of specialized muscle fibers located in the interatrial septum near the opening of the coronary sinus. It gives rise to the atrioventricular bundle of the conduction system of the heart.
http://id.nlm.nih.gov/mesh/M0003026,M0003026,Bundle of His,His Bundle,"Small band of specialized CARDIAC MUSCLE fibers that originates in the ATRIOVENTRICULAR NODE and extends into the membranous part of the interventricular septum. The bundle of His, consisting of the left and the right bundle branches, conducts the electrical impulses to the HEART VENTRICLES in generation of MYOCARDIAL CONTRACTION."
http://id.nlm.nih.gov/mesh/M0004331,M0004331,Chordae Tendineae,"Tendineae, Chordae","The tendinous cords that connect each cusp of the two atrioventricular HEART VALVES to appropriate PAPILLARY MUSCLES in the HEART VENTRICLES, preventing the valves from reversing themselves when the ventricles contract."
http://id.nlm.nih.gov/mesh/M000605189,M000605189,Pericardial Fluid,"Fluid, Pericardial; Fluids, Pericardial; Pericardial Fluids",Watery fluid produced in the serous and visceral pericardium surrounding the surface of the HEART.
http://id.nlm.nih.gov/mesh/M0006876,M0006876,Ductus Arteriosus,"Arteriosus, Ductus",A fetal blood vessel connecting the pulmonary artery with the descending aorta.
http://id.nlm.nih.gov/mesh/M0007395,M0007395,Endocardium,Endocardiums,"The innermost layer of the heart, comprised of endothelial cells."
http://id.nlm.nih.gov/mesh/M0008401,M0008401,Fetal Heart,"Fetal Hearts; Heart, Fetal; Hearts, Fetal",The heart of the fetus of any viviparous animal. It refers to the heart in the postembryonic period and is differentiated from the embryonic heart (HEART/embryology) only on the basis of time.
http://id.nlm.nih.gov/mesh/M0009936,M0009936,Heart,,"The hollow, muscular organ that maintains the circulation of the blood."
http://id.nlm.nih.gov/mesh/M0009941,M0009941,Heart Atria,"Atria, Heart","The chambers of the heart, to which the BLOOD returns from the circulation."
http://id.nlm.nih.gov/mesh/M0009948,M0009948,Heart Conduction System,"Conduction System, Heart; Conduction Systems, Heart; Heart Conduction Systems; System, Heart Conduction; Systems, Heart Conduction","An impulse-conducting system composed of modified cardiac muscle, having the power of spontaneous rhythmicity and conduction more highly developed than the rest of the heart."
http://id.nlm.nih.gov/mesh/M0009968,M0009968,Foramen Ovale,,An opening in the wall between the right and the left upper chambers (HEART ATRIA) of a fetal heart. Oval foramen normally closes soon after birth; when it fails to close the condition is called PATENT OVAL FORAMEN.
http://id.nlm.nih.gov/mesh/M0009969,M0009969,Heart Septum,"Septum, Heart","This structure includes the thin muscular atrial septum between the two HEART ATRIA, and the thick muscular ventricular septum between the two HEART VENTRICLES."
