source,target,rank,score
M0000009,CL_2000013,1,0.515679379252519
M0000009,CL_1000286,2,0.5470655746176991
M0000009,CL_0009052,3,0.5353710717575482
M0000010,CL_0008010,1,0.5937770055676522
M0000010,CL_0008013,2,0.5131872843446196
M0000076,CL_0002155,1,0.7301280527501164
M0000076,CL_0002021,2,0.6090518186999139
M0000076,CL_0002020,3,0.6020031179444374
M0000081,CL_0000741,1,0.7303136358268174
M0000081,CL_0015000,2,0.6499484242242495
M0000081,CL_0008010,3,0.632096678521814
M0000199,CL_0000388,0.5225205573525946,1,
M0000241,CL_0000609,1,0.6952915066818511
M0000241,CL_1000382,2,0.6378883439376117
M0000241,CL_1000378,3,0.6235521368755941
M0000267,CL_0000019,1,0.634995680162689
M0000267,CL_0000408,2,0.6542237951504645
M0000267,CL_0007022,3,0.6155237050664691
M0000365,CL_1001573,1,0.6239199034602824
M0000365,CL_0002631,2,0.5958308961295341
M0000365,CL_0000869,3,0.6643458289000778
M0000425,CL_0000136,1,0.8200449961594818
M0000425,CL_0000565,2,0.7814238955413311
M0000425,CL_0000449,3,0.770530443327395
M0000455,CL_0009095,1,0.6200856745048474
M0000455,CL_0002149,2,0.5923084524439545
M0000455,CL_1001591,3,0.5706104939865242
M0000476,CL_1001601,1,0.8783889260388797
M0000476,CL_0002097,2,0.8829508345881003
M0000476,CL_0002136,3,0.7556527252170723
M0000486,CL_1001601,1,0.8053455283580301
M0000486,CL_0002097,2,0.7583709847086039
M0000486,CL_1000427,3,0.7157593891326659
M0000489,CL_0000336,1,0.8888807817827112
M0000489,CL_0002082,2,0.8458630620343118
M0000489,CL_0002083,3,0.838053126471427
M0000496,CL_0000109,1,0.8513316472477682
M0000496,CL_0008025,2,0.763421331829383
M0000496,CL_0000459,3,0.7412449415982592
M0000529,CL_0000526,1,0.7873331701658074
M0000529,CL_0000101,2,0.745847689885754
M0000529,CL_0000379,3,0.7442482017081077
M0000834,CL_0000060,1,0.5853911862959307
M0000834,CL_0000588,2,0.567720348171465
M0000834,CL_0007002,3,0.5613858478223689
