source,target,score
M0000009,UBERON_0002461,0.9081629333793447
M0000009,UBERON_0002378,0.885904060774592
M0000009,UBERON_0001221,0.848529292242896
M0000009,UBERON_0002382,0.847878780969901
M0000009,UBERON_0035032,0.8321425808399531
M0000009,UBERON_0005442,0.7956579336208209
M0000009,UBERON_0003697,0.78235001511284
M0000009,UBERON_0002417,0.7610084419563298
M0000009,UBERON_0011016,0.7349007498685367
M0000009,UBERON_0001774,0.727904587436523
M0000010,UBERON_0001646,0.9388527209050089
M0000010,UBERON_0001603,0.897697368908723
M0000010,UBERON_0006322,0.8196846053569969
M0000010,UBERON_0006323,0.8055184953815889
M0000010,UBERON_0001602,0.800909090644062
M0000010,UBERON_0006533,0.7972570293671989
M0000010,UBERON_0004277,0.7947434845410509
M0000010,UBERON_0006531,0.7871534471148878
M0000010,UBERON_0001643,0.7724358782288793
M0000010,UBERON_0006321,0.7669302561942131
M0000076,UBERON_0001266,0.6633860859189986
M0000076,UBERON_0001250,0.5834755304169685
M0000076,UBERON_0001265,0.5748792931142288
M0000076,UBERON_0000178,0.5395692648498492
M0000076,UBERON_0009967,0.5329194910885416
M0000076,UBERON_1000023,0.5301529609830169
M0000076,UBERON_1000024,0.5235555994223503
M0000076,UBERON_0013132,0.5203788282137848
M0000076,UBERON_0010400,0.5106005047753226
M0000076,UBERON_0003910,0.5073433743579634
M0000081,UBERON_0005476,0.745068660798423
M0000081,UBERON_0003725,0.7336582901669042
M0000081,UBERON_0000962,0.7229489322397915
M0000081,UBERON_0002839,0.7104580914402024
M0000081,UBERON_0006838,0.696147649019352
M0000081,UBERON_0001650,0.6954198550971958
M0000081,UBERON_0001647,0.6900113171649259
M0000081,UBERON_0002834,0.6898893113365074
M0000081,UBERON_0007714,0.6878499486462758
M0000081,UBERON_0002855,0.6867143593345754
M0000110,UBERON_0008202,0.8749030209094533
M0000110,UBERON_0001464,0.7980794366678776
M0000110,UBERON_0006767,0.7490693655083629
M0000110,UBERON_0001270,0.7281253608288983
M0000110,UBERON_0001273,0.7119540792442722
M0000110,UBERON_0001275,0.7102114914381162
M0000110,UBERON_0000981,0.699796798696581
M0000110,UBERON_0012476,0.695806646608582
M0000110,UBERON_0000979,0.6838483985318227
M0000110,UBERON_0001465,0.6749712246943756
M0000199,UBERON_0001665,0.7816534678943584
M0000199,UBERON_0001389,0.7758740056721373
M0000199,UBERON_0000211,0.701810202334893
M0000199,UBERON_0011907,0.6930476430073133
M0000199,UBERON_0009987,0.6789400764874622
M0000199,UBERON_0001498,0.6686368092141777
M0000199,UBERON_0001388,0.6632211045598353
M0000199,UBERON_0011824,0.661477149825875
M0000199,UBERON_0011823,0.6612585530398325
M0000199,UBERON_0011908,0.6584055754872747
M0000241,UBERON_0001648,0.9369494715226444
M0000241,UBERON_0002824,0.8518400558830009
M0000241,UBERON_0007228,0.8512392210164109
M0000241,UBERON_0000054,0.7931851878090821
M0000241,UBERON_0035648,0.6428350290743479
M0000241,UBERON_0036074,0.6358953334957907
M0000241,UBERON_0002276,0.6295711870142835
M0000241,UBERON_0036216,0.6239836545404147
M0000241,UBERON_0003939,0.600006117488397
M0000241,UBERON_0006079,0.5961609967695394
M0000262,UBERON_0007175,0.7008755682636079
M0000262,UBERON_0007172,0.6997057577126157
M0000262,UBERON_0006849,0.6905273623360091
M0000262,UBERON_0007171,0.6813198780809395
M0000262,UBERON_0004770,0.6798156897095019
M0000262,UBERON_0011088,0.6763673601496832
M0000262,UBERON_0001485,0.6682976104033072
M0000262,UBERON_0034908,0.6544406769501881
M0000262,UBERON_0010853,0.6490556366522588
M0000262,UBERON_0004905,0.6421519652286478
M0000263,UBERON_0006849,0.7938689806780915
M0000263,UBERON_0007175,0.770928736986515
M0000263,UBERON_0007172,0.7541315495630599
M0000263,UBERON_0034908,0.752114751325351
M0000263,UBERON_0001482,0.7468405545623648
M0000263,UBERON_0003461,0.7461640855052988
M0000263,UBERON_0007171,0.7451480444907613
M0000263,UBERON_0007173,0.7233319804271249
M0000263,UBERON_0006633,0.7161387572421666
M0000263,UBERON_0007176,0.6905842706332997
M0000267,UBERON_0000086,0.7416063268716983
M0000267,UBERON_8450001,0.6444152071832498
