source,target,rank,score
M0000009,UBERON_0002461,1,0.9257650104986377
M0000009,UBERON_0002378,2,0.9441650466034447
M0000009,UBERON_0035032,3,0.9080750717533805
M0000010,UBERON_0001646,1,0.912774381783531
M0000010,UBERON_0001603,2,0.7711287972272663
M0000010,UBERON_0004277,3,0.7649026689214026
M0000076,UBERON_0001266,0.5496836229476705,1,
M0000081,UBERON_0003716,1,0.7552743015777841
M0000081,UBERON_0011326,2,0.7531088497474858
M0000081,UBERON_0035642,3,0.7763842157749193
M0000110,UBERON_0001464,1,0.8735743387347088
M0000110,UBERON_0003826,2,0.7793617832510744
M0000110,UBERON_0006767,3,0.7654145639801498
M0000199,UBERON_0001665,1,0.7564839421544826
M0000199,UBERON_0011908,2,0.7516051707870417
M0000199,UBERON_0001450,3,0.7580418284538072
M0000241,UBERON_0001648,1,0.9260826395627088
M0000241,UBERON_0002824,2,0.8973995556887029
M0000241,UBERON_0007228,3,0.9024915653913889
M0000262,UBERON_0006633,1,0.7251716633587901
M0000262,UBERON_0006849,2,0.7434689171969006
M0000262,UBERON_0007171,3,0.7198771168367426
M0000263,UBERON_0002383,1,0.7861733125051562
M0000263,UBERON_0007171,2,0.7595655280178095
M0000263,UBERON_0007175,3,0.7909917362501094
M0000267,UBERON_0000086,1,0.7440464985725672
M0000267,UBERON_0001306,2,0.7085652492854655
M0000267,UBERON_0006947,3,0.685201831039429
M0000365,UBERON_0001735,1,0.819721769195158
M0000365,UBERON_0010423,2,0.8270826632922192
M0000365,UBERON_0002372,3,0.8540072542802508
M0000425,UBERON_0001013,1,0.941291959999461
M0000425,UBERON_0002190,2,0.8553411343646485
M0000425,UBERON_0002072,3,0.6564790134949542
M0000455,UBERON_0003975,1,0.8580699865980735
M0000455,UBERON_0003134,2,0.8343297707982099
M0000455,UBERON_0001302,3,0.8304470616568591
M0000476,UBERON_0005624,1,0.6826192376367853
M0000476,UBERON_8600018,2,0.6828460754445551
M0000476,UBERON_0004203,3,0.6786188779483462
M0000486,UBERON_0000958,1,0.7064318850414824
M0000486,UBERON_0010133,2,0.703842322327771
M0000486,UBERON_8600018,3,0.7492838649621797
M0000489,UBERON_8600018,1,0.7191065583079075
M0000489,UBERON_0034729,2,0.7196071069281842
M0000489,UBERON_0011926,3,0.7299925211101229
M0000496,UBERON_0011926,1,0.8386435412854856
M0000496,UBERON_0011924,2,0.7656205685206968
M0000496,UBERON_0011929,3,0.7214227044152023
M0000529,UBERON_0007699,1,0.7281680874177927
M0000529,UBERON_0001800,2,0.7319965850809846
M0000529,UBERON_0002256,3,0.7160725510457518
M0000834,UBERON_0004527,1,0.8843241324195175
M0000834,UBERON_0004103,2,0.8953960731788332
M0000834,UBERON_0012360,3,0.7402451527529234
M0001044,UBERON_0001876,1,0.9143488807322219
M0001044,UBERON_0002883,2,0.8547296244470575
M0001044,UBERON_0002892,3,0.860308459305583
M0001253,UBERON_0002395,1,0.8596284991230184
M0001253,UBERON_0015180,2,0.8576809591264586
M0001253,UBERON_0012291,3,0.854431818595271
M0001297,UBERON_0001801,1,0.7986285645498105
M0001297,UBERON_0011892,2,0.7520878231040669
M0001297,UBERON_0003956,3,0.7827594202869812
M0001299,UBERON_0001801,1,0.9386147206207646
M0001299,UBERON_0011892,2,0.8055110036157773
M0001299,UBERON_0000019,3,0.8015308320565139
M0001300,UBERON_0002257,1,0.7749489416567802
M0001300,UBERON_0030276,2,0.7824832278072097
M0001300,UBERON_0014610,3,0.7292720255488518
M0001371,UBERON_0000444,1,0.7031347912138383
M0001371,UBERON_0010421,2,0.6964654182309853
M0001371,UBERON_0002405,3,0.7069988898294081
M0001402,UBERON_0003968,1,0.7398473679189617
M0001402,UBERON_0010394,2,0.7192890121042109
M0001402,UBERON_0002405,3,0.7103497734479415
M0001526,UBERON_0000159,1,0.9285060352057825
M0001526,UBERON_0012361,2,0.9122055289652599
M0001526,UBERON_0001052,3,0.8846931883508501
M0001539,UBERON_0010191,1,0.9099287472775309
M0001539,UBERON_0000947,2,0.9097794830668623
M0001539,UBERON_0001514,3,0.9021766555997623
M0001541,UBERON_0012254,1,0.9358693492200392
M0001541,UBERON_0001516,2,0.9360230829005871
M0001541,UBERON_0000947,3,0.8527491615734394
M0001542,UBERON_0001515,1,0.9141590125524724
M0001542,UBERON_0002345,2,0.901272554451353
M0001542,UBERON_0001514,3,0.8459955648355277
M0001548,UBERON_0008886,1,0.6737243735982613
M0001548,UBERON_0004848,2,0.6755307575446825
M0001548,UBERON_0003495,3,0.6859064524593227
M0001553,UBERON_0002137,1,0.9626034079296553
M0001553,UBERON_0000946,2,0.8549839703748391
M0001553,UBERON_0003978,3,0.8281162120455305
M0001590,UBERON_0008974,1,0.7871504087559353
M0001590,UBERON_0002419,2,0.8201451185867622
