source,target,score
UBERON_0000074,M0012018,0.9266837472268595
UBERON_0000074,M0476074,0.8602040660733786
UBERON_0000074,M0555122,0.8515141042667951
UBERON_0000074,M0473246,0.8272237047783142
UBERON_0000074,M0012006,0.8138353487699799
UBERON_0000074,M0014633,0.8078380538367266
UBERON_0000074,M0009299,0.7921647262533827
UBERON_0000074,M0012025,0.7897373579560555
UBERON_0000074,M0475586,0.7616139216557983
UBERON_0000074,M0012027,0.76135446997103
UBERON_0000362,M0012019,0.8693807027499886
UBERON_0000362,M0012025,0.8179950635132789
UBERON_0000362,M0012028,0.7996299862532544
UBERON_0000362,M0014633,0.7868809080552271
UBERON_0000362,M0012012,0.7781373837731278
UBERON_0000362,M0012026,0.777725418406579
UBERON_0000362,M0012027,0.7542064754820821
UBERON_0000362,M0012691,0.7540345019400826
UBERON_0000362,M0475586,0.7334325554847528
UBERON_0000362,M0012006,0.7267953898525189
UBERON_0001224,M0012023,0.9004551334964773
UBERON_0001224,M0012010,0.8113147496845219
UBERON_0001224,M0012019,0.7591831579854732
UBERON_0001224,M0012028,0.7085842780726646
UBERON_0001224,M0012026,0.6459881194411934
UBERON_0001224,M0012025,0.6439600977283976
UBERON_0001224,M0012012,0.6140467261368698
UBERON_0001224,M0014633,0.6097261339565316
UBERON_0001224,M0012027,0.6045775375337558
UBERON_0001224,M0012006,0.603428907530175
UBERON_0001225,M0012012,0.869299745268661
UBERON_0001225,M0012025,0.7910380292931071
UBERON_0001225,M0012019,0.7883636247067808
UBERON_0001225,M0012006,0.782967298485629
UBERON_0001225,M0014633,0.7728936845415119
UBERON_0001225,M0012026,0.7704018396504181
UBERON_0001225,M0012027,0.750933590436963
UBERON_0001225,M0012028,0.7501324776020073
UBERON_0001225,M0011890,0.7306043323866389
UBERON_0001225,M0012010,0.7293905544720511
UBERON_0001226,M0012010,0.8756263397913779
UBERON_0001226,M0012023,0.7674442205762846
UBERON_0001226,M0012028,0.6769574048511476
UBERON_0001226,M0012019,0.6519244926198423
UBERON_0001226,M0012026,0.6486466024094812
UBERON_0001226,M0012012,0.6367587503875337
UBERON_0001226,M0012027,0.6253087158493094
UBERON_0001226,M0012006,0.6208952438068355
UBERON_0001226,M0012025,0.6188745652296248
UBERON_0001226,M0014633,0.5999660122759287
UBERON_0001227,M0012010,0.8609056423817846
UBERON_0001227,M0012023,0.7801642998623564
UBERON_0001227,M0012019,0.7135044767843945
UBERON_0001227,M0012026,0.7020449760391946
UBERON_0001227,M0012028,0.6794827142858095
UBERON_0001227,M0012012,0.6380348451483662
UBERON_0001227,M0012025,0.6350391838799821
UBERON_0001227,M0012027,0.620649204983234
UBERON_0001227,M0014633,0.6186353665196312
UBERON_0001227,M0012006,0.6036172600669261
UBERON_0001228,M0012010,0.8131375860348939
UBERON_0001228,M0012023,0.7939538900573481
UBERON_0001228,M0012019,0.7787864119474213
UBERON_0001228,M0012026,0.7407951677506922
UBERON_0001228,M0012028,0.7401246616591662
UBERON_0001228,M0012025,0.7270880774143376
UBERON_0001228,M0012012,0.7242309556424469
UBERON_0001228,M0012027,0.7070592443712954
UBERON_0001228,M0014633,0.7004968713107258
UBERON_0001228,M0012006,0.683846288166551
UBERON_0001229,M0012018,0.8037370447684439
UBERON_0001229,M0012025,0.7809989008386562
UBERON_0001229,M0475586,0.7736400234976933
UBERON_0001229,M0014633,0.7720065365739346
UBERON_0001229,M0555122,0.7670603860685506
UBERON_0001229,M0012006,0.7634604613737079
UBERON_0001229,M0012028,0.7630033730337077
UBERON_0001229,M0012019,0.7589956974455486
UBERON_0001229,M0476074,0.7553650825774196
UBERON_0001229,M0012012,0.7382369139082225
UBERON_0001231,M0014633,0.8904189169834916
UBERON_0001231,M0012025,0.8760277166590511
UBERON_0001231,M0012027,0.857307165461422
UBERON_0001231,M0012028,0.841742898296505
UBERON_0001231,M0012012,0.82678216582109
UBERON_0001231,M0012026,0.7940129523039632
UBERON_0001231,M0012006,0.772911365606469
UBERON_0001231,M0475586,0.7719147693530628
UBERON_0001231,M0012691,0.7551942650480851
UBERON_0001231,M0012018,0.7338294782530022
UBERON_0001232,M0012026,0.9194862388416193
