source,target,rank,score
UBERON_0000074,M0012018,1,0.8952585620200328
UBERON_0000074,M0555122,2,0.8489046438942676
UBERON_0000074,M0009299,3,0.8377030835218197
UBERON_0000362,M0012019,1,0.9101001667266322
UBERON_0000362,M0012025,2,0.8131248589182496
UBERON_0000362,M0012012,3,0.8126984629686284
UBERON_0001224,M0012010,1,0.8052882344192133
UBERON_0001224,M0012023,2,0.9274297428147219
UBERON_0001224,M0012025,3,0.7094751932978253
UBERON_0001225,M0012006,1,0.7700229244904077
UBERON_0001225,M0012025,2,0.7676850381590229
UBERON_0001225,M0012012,3,0.9261858903191281
UBERON_0001226,M0012010,1,0.864975297419382
UBERON_0001226,M0012025,2,0.7118088155663503
UBERON_0001226,M0012023,3,0.7061570023194692
UBERON_0001227,M0012023,1,0.7462330803639017
UBERON_0001227,M0012010,2,0.9033471639238627
UBERON_0001227,M0012025,3,0.7140533341687747
UBERON_0001228,M0012028,1,0.8188684241653189
UBERON_0001228,M0012026,2,0.8063395146521785
UBERON_0001228,M0012027,3,0.7876081247171487
UBERON_0001229,M0014633,1,0.7870054559377432
UBERON_0001229,M0012012,2,0.8024159382184831
UBERON_0001229,M0012025,3,0.8091107484341038
UBERON_0001231,M0012027,1,0.8907298479275467
UBERON_0001231,M0014633,2,0.8965679295227139
UBERON_0001231,M0012025,3,0.8545586477408045
UBERON_0001232,M0012025,1,0.8421608811106764
UBERON_0001232,M0012028,2,0.82714696571429
UBERON_0001232,M0012026,3,0.9158666000062088
UBERON_0001284,M0012012,1,0.7444078771051899
UBERON_0001284,M0012026,2,0.7680813537972062
UBERON_0001284,M0012028,3,0.7470326501929874
UBERON_0001285,M0012006,1,0.8622295105246566
UBERON_0001285,M0014633,2,0.8779180199876209
UBERON_0001285,M0012027,3,0.8401803055621624
UBERON_0001287,M0012028,1,0.8937705488403903
UBERON_0001287,M0012027,2,0.8624571708564838
UBERON_0001287,M0012025,3,0.8071011197655108
UBERON_0001288,M0012028,1,0.8812088285081993
UBERON_0001288,M0012691,2,0.9360704457716478
UBERON_0001288,M0012025,3,0.84770093763918
UBERON_0001289,M0012028,1,0.8618798927830726
UBERON_0001289,M0012027,2,0.8210011925614326
UBERON_0001289,M0012691,3,0.8995878551897506
UBERON_0001290,M0012028,1,0.903603293418149
UBERON_0001290,M0012027,2,0.8457318287257837
UBERON_0001290,M0012025,3,0.8075628114372456
UBERON_0001291,M0012028,1,0.8464292668897566
UBERON_0001291,M0012691,2,0.8121188401013198
