source,target,score
UBERON_0001113,M0002483,0.5553661351189817
UBERON_0001113,M000606073,0.5545705489476106
UBERON_0001113,M0012632,0.5112999523459981
UBERON_0001114,M000606073,0.5818074831591507
UBERON_0001114,M0002483,0.5510804329542902
UBERON_0001114,M0012632,0.5055492328373903
UBERON_0001115,M000606073,0.5430681115508348
UBERON_0001115,M0002483,0.5105188710481882
UBERON_0001116,M000606073,0.5757902079929584
UBERON_0001116,M0002477,0.5222431802399032
UBERON_0001117,M000606073,0.5212959280332515
UBERON_0001117,M0002483,0.5137694288470447
UBERON_0001117,M0002477,0.5041123336093576
UBERON_0001143,M0002483,0.5139234106416667
UBERON_0001247,M000606073,0.6792292507669359
UBERON_0001247,M0002477,0.5097130206386992
UBERON_0001280,M0012632,0.5629532813463332
UBERON_0001280,M0002483,0.5543480844545656
UBERON_0001281,M0002483,0.5620616010101548
UBERON_0001281,M0002477,0.5557464969747522
UBERON_0001282,M0002477,0.7490779360594537
UBERON_0001282,M0002483,0.6787224942093366
UBERON_0001282,M000606073,0.5465883333188715
UBERON_0002107,M0012632,0.760514101780542
UBERON_0004058,M0002483,0.6588259038120312
UBERON_0004058,M0002477,0.6198760827860693
UBERON_0004647,M000606073,0.5667190000957806
UBERON_0004647,M0002477,0.5080615382025953
UBERON_0004647,M0002483,0.5013890240989178
UBERON_0006588,M000606073,0.853329175885503
UBERON_0006727,M0002483,0.5876287741562964
UBERON_0006728,M0002483,0.5763679429988623
UBERON_0006729,M0002477,0.5112240241304747
UBERON_0006841,M0002483,0.55684479451793
UBERON_0011955,M0002483,0.5315447366292021
UBERON_0011955,M0012632,0.5137106692605795
UBERON_0011956,M0002483,0.5217022518395339
UBERON_0011956,M0012632,0.515971212010344
UBERON_0013138,M000606073,0.6666074272932595
UBERON_0013138,M0002477,0.5401379838255039
UBERON_0013138,M0002483,0.5301852924087347
UBERON_0013139,M000606073,0.7067008256324974
UBERON_0013139,M0002483,0.6236724603352999
UBERON_0013139,M0012632,0.5485856347025251
UBERON_0013139,M0002477,0.5135140698606572
UBERON_0015796,M0012632,0.6229750769603258
UBERON_0015796,M0002483,0.5387502205745421
UBERON_0016478,M0002483,0.5832632788013529
UBERON_0035444,M000606073,0.7084186896739253
