source,target,score
UBERON_0001113,M000606073,0.6285670509004941
UBERON_0001113,M0002483,0.578171604555802
UBERON_0001113,M0002477,0.5519663005389023
UBERON_0001114,M000606073,0.6907289189496536
UBERON_0001114,M0002483,0.6089438826038723
UBERON_0001114,M0002477,0.5871340927919102
UBERON_0001114,M0012632,0.5170913947751203
UBERON_0001115,M000606073,0.6926001984341082
UBERON_0001115,M0002483,0.6137825753549834
UBERON_0001115,M0002477,0.5512864576459572
UBERON_0001115,M0012632,0.5316511430800483
UBERON_0001116,M0002477,0.7487218042466507
UBERON_0001116,M0002483,0.7206184111099677
UBERON_0001116,M000606073,0.6348374837202917
UBERON_0001116,M0012632,0.6181581426946212
UBERON_0001117,M000606073,0.5986350750455179
UBERON_0001117,M0002483,0.5910959410262159
UBERON_0001117,M0002477,0.5475430072291453
UBERON_0001143,M0002483,0.661517826114583
UBERON_0001143,M0002477,0.6051957310174001
UBERON_0001143,M000606073,0.5881949488803188
UBERON_0001143,M0012632,0.578897228364153
UBERON_0001149,M000606073,0.7374713997247032
UBERON_0001149,M0002483,0.5711926225267844
UBERON_0001149,M0002477,0.5612748577364043
UBERON_0001149,M0012632,0.5030007101002376
UBERON_0001247,M000606073,0.8192297828739539
UBERON_0001247,M0002483,0.5422763926171577
UBERON_0001247,M0002477,0.5382382397836147
UBERON_0001279,M0002483,0.7870931862224287
UBERON_0001279,M0002477,0.7109537307585398
UBERON_0001279,M0012632,0.6464608206546818
UBERON_0001279,M000606073,0.5924607671333044
UBERON_0001280,M0012632,0.6579270296120104
UBERON_0001280,M0002477,0.6341657593481932
UBERON_0001280,M0002483,0.5865608110283475
UBERON_0001280,M000606073,0.5041019547122919
UBERON_0001281,M0002477,0.6676989078628879
UBERON_0001281,M0002483,0.631066639161594
UBERON_0001281,M0012632,0.5775262502243036
UBERON_0001281,M000606073,0.5393896657341827
UBERON_0001282,M0002483,0.886803542161809
UBERON_0001282,M0002477,0.8226635530772997
UBERON_0001282,M000606073,0.6285189601310749
UBERON_0001282,M0012632,0.5605699949888089
UBERON_0002107,M0012632,0.8327296808922529
UBERON_0002107,M0002483,0.5914396490892866
UBERON_0002107,M0002477,0.5140065465664536
UBERON_0004058,M0002483,0.8835610596697749
UBERON_0004058,M0002477,0.7882345755107417
UBERON_0004058,M0012632,0.5657495777831001
UBERON_0004058,M000606073,0.5651867178717135
UBERON_0004647,M0002483,0.6959634606589301
UBERON_0004647,M0002477,0.6856447461034315
UBERON_0004647,M0012632,0.6651299239399291
UBERON_0004647,M000606073,0.5772487414350819
UBERON_0005452,M0002477,0.7524723873859395
UBERON_0005452,M0002483,0.7231367541404777
UBERON_0005452,M0012632,0.6313181979075658
UBERON_0005452,M000606073,0.6247774176975093
UBERON_0006588,M000606073,0.897305301714855
UBERON_0006588,M0002477,0.5238698862005895
UBERON_0006588,M0002483,0.5235317497283837
UBERON_0006727,M0002483,0.6594736376483313
UBERON_0006727,M000606073,0.648744654158186
UBERON_0006727,M0012632,0.6077090094514535
UBERON_0006727,M0002477,0.5927608659064544
UBERON_0006728,M000606073,0.7015502323067706
UBERON_0006728,M0002483,0.6709587205461628
UBERON_0006728,M0002477,0.6426815898407686
UBERON_0006728,M0012632,0.56680521390335
UBERON_0006729,M0002477,0.6422713189441827
UBERON_0006729,M0012632,0.6268531197038517
UBERON_0006729,M0002483,0.5986426957451243
UBERON_0006729,M000606073,0.5104439127268753
UBERON_0006841,M0002483,0.6344069087887233
UBERON_0006841,M000606073,0.6339029541106003
UBERON_0006841,M0002477,0.619512344410891
UBERON_0006841,M0012632,0.5926645901114516
UBERON_0011955,M0002483,0.6364020609386329
UBERON_0011955,M000606073,0.6266199553932527
UBERON_0011955,M0012632,0.5510496129321786
UBERON_0011955,M0002477,0.5475946492958048
UBERON_0011956,M0002483,0.6488943280712357
UBERON_0011956,M000606073,0.5923264635664787
UBERON_0011956,M0002477,0.5646046688920464
UBERON_0011956,M0012632,0.5382938323822731
UBERON_0011957,M000606073,0.6539545978501541
UBERON_0011957,M0002483,0.6231095563983661
UBERON_0011957,M0002477,0.5463840022244454
UBERON_0013138,M000606073,0.7261455184442493
UBERON_0013138,M0002483,0.5395721694887918
UBERON_0013139,M000606073,0.7335742372094249
UBERON_0013139,M0002483,0.5203000527620668
UBERON_0015481,M000606073,0.663659285184786
UBERON_0015481,M0002483,0.5947842627794345
UBERON_0015481,M0002477,0.5260322530497896
UBERON_0015482,M000606073,0.6461302262489641
UBERON_0015482,M0002483,0.5760211137320781
UBERON_0015482,M0002477,0.5271688143439764
UBERON_0015796,M0012632,0.6438111155627744
UBERON_0015796,M0002483,0.6372118095371143
UBERON_0015796,M0002477,0.593000084407834
UBERON_0015796,M000606073,0.5642767410777271
UBERON_0016478,M0012632,0.6241070839076298
UBERON_0016478,M0002477,0.5721735771812625
UBERON_0016478,M000606073,0.5490435338593235
UBERON_0016478,M0002483,0.5349962696561207
UBERON_0016479,M0002477,0.5774404145327653
UBERON_0016479,M0012632,0.5762960341006096
UBERON_0016479,M0002483,0.565877745231779
UBERON_0016479,M000606073,0.5652431395683651
UBERON_0035444,M000606073,0.7966651210395594
UBERON_0035444,M0002477,0.6167697903045699
UBERON_0035444,M0002483,0.6038081715186139
UBERON_0035444,M0012632,0.5197971081320092
UBERON_0039222,M0002483,0.6078083461481185
UBERON_0039222,M0002477,0.5507666350666972
UBERON_0039222,M000606073,0.5332775622510039
